,Country,Region,Happiness Score
105,Zambia,Sub-Saharan Africa,4.795
106,Nepal,Southern Asia,4.793
107,Palestinian Territories,Middle East and Northern Africa,4.754
108,Albania,Central and Eastern Europe,4.655
109,Bangladesh,Southern Asia,4.643
110,Sierra Leone,Sub-Saharan Africa,4.635
111,Iraq,Middle East and Northern Africa,4.575
112,Namibia,Sub-Saharan Africa,4.574
113,Cameroon,Sub-Saharan Africa,4.513
114,Ethiopia,Sub-Saharan Africa,4.508
115,South Africa,Sub-Saharan Africa,4.459
116,Sri Lanka,Southern Asia,4.415
117,India,Southern Asia,4.404
118,Myanmar,Southeastern Asia,4.395
119,Egypt,Middle East and Northern Africa,4.362
120,Armenia,Central and Eastern Europe,4.36
121,Kenya,Sub-Saharan Africa,4.356
122,Ukraine,Central and Eastern Europe,4.324
123,Ghana,Sub-Saharan Africa,4.276
124,Congo (Kinshasa),Sub-Saharan Africa,4.272
125,Georgia,Central and Eastern Europe,4.252
126,Congo (Brazzaville),Sub-Saharan Africa,4.236000000000001
127,Senegal,Sub-Saharan Africa,4.218999999999999
128,Bulgaria,Central and Eastern Europe,4.217
129,Mauritania,Sub-Saharan Africa,4.2010000000000005
130,Zimbabwe,Sub-Saharan Africa,4.1930000000000005
131,Malawi,Sub-Saharan Africa,4.156000000000001
132,Sudan,Sub-Saharan Africa,4.138999999999999
133,Gabon,Sub-Saharan Africa,4.121
134,Mali,Sub-Saharan Africa,4.073
135,Haiti,Latin America and Caribbean,4.0280000000000005
136,Botswana,Sub-Saharan Africa,3.9739999999999998
137,Comoros,Sub-Saharan Africa,3.9560000000000004
138,Ivory Coast,Sub-Saharan Africa,3.9160000000000004
139,Cambodia,Southeastern Asia,3.907
140,Angola,Sub-Saharan Africa,3.866
141,Niger,Sub-Saharan Africa,3.8560000000000003
142,South Sudan,Sub-Saharan Africa,3.832
143,Chad,Sub-Saharan Africa,3.763
144,Burkina Faso,Sub-Saharan Africa,3.739
145,Uganda,Sub-Saharan Africa,3.739
146,Yemen,Middle East and Northern Africa,3.7239999999999998
147,Madagascar,Sub-Saharan Africa,3.695
148,Tanzania,Sub-Saharan Africa,3.6660000000000004
149,Liberia,Sub-Saharan Africa,3.622
150,Guinea,Sub-Saharan Africa,3.6069999999999998
151,Rwanda,Sub-Saharan Africa,3.515
152,Benin,Sub-Saharan Africa,3.484
153,Afghanistan,Southern Asia,3.36
154,Togo,Sub-Saharan Africa,3.303
155,Syria,Middle East and Northern Africa,3.069
156,Burundi,Sub-Saharan Africa,2.905
